Candidate,House.Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check.Column,PartyVar,NewEngland,MidAtlantic,ENCentral,WNCentral,SouthAtlantic,ESCentral,WSCentral,MountainWest,Pacific,CheckVar,Northeast,Midwest,South,West,PerUrban,CheckCandidate
"MIELKE, DANIEL E MR.",H,WI,7,REP,OPEN,2010,male,0,6.060606061,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,42.04,"MIELKE, DANIEL E MR."
"WOOLF, AARON",H,NY,21,DEM,OPEN,2014,male,0,20,democrat,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,42.3,"WOOLF, AARON"
"DOHENY, MATTHEW A",H,NY,21,REP,OPEN,2014,male,0,2.666666667,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,42.3,"DOHENY, MATTHEW A"
"GILBERT, JOSEPH MARK",H,NY,21,REP,OPEN,2014,male,0,2.666666667,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,42.3,"GILBERT, JOSEPH MARK"
"RING, MICHAEL F",H,NY,21,REP,OPEN,2014,male,0,2.666666667,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,42.3,"RING, MICHAEL F"
"SHAVER, ROBERT MICHAEL",H,NY,21,REP,OPEN,2016,male,0,3.333333333,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,42.3,"SHAVER, ROBERT MICHAEL"
"STEFANIK, ELISE M.",H,NY,21,REP,OPEN,2014,female,1,2.666666667,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,42.3,"STEFANIK, ELISE M."
"BOTHWELL, CECIL",H,NC,11,DEM,OPEN,2012,male,0,19.16666667,democrat,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"BOTHWELL, CECIL"
"HILL, THOMAS",H,NC,11,DEM,OPEN,2012,male,0,19.16666667,democrat,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"HILL, THOMAS"
"ROGERS, HAYDEN",H,NC,11,DEM,OPEN,2012,male,0,19.16666667,democrat,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"ROGERS, HAYDEN"
"CAMPBELL, CHARLES SPENCER JR",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"CAMPBELL, CHARLES SPENCER JR"
"EICHENBAUM, DAN DR",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"EICHENBAUM, DAN DR"
"HARRIS, ALICE SUSAN",H,NC,11,REP,OPEN,2012,female,1,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"HARRIS, ALICE SUSAN"
"HUNT, JEFFREY PAUL",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"HUNT, JEFFREY PAUL"
"MEADOWS, MARK R",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"MEADOWS, MARK R"
"PATTERSON, VANCE",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"PATTERSON, VANCE"
"PETRELLA, CHRISTOPHER",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"PETRELLA, CHRISTOPHER"
"WEST, KENNETH D",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"WEST, KENNETH D"
"WINGFIELD, ETHAN",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,43.86,"WINGFIELD, ETHAN"
"BRYLES, STEVE MARK",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"BRYLES, STEVE MARK"
"CAUSEY, CHAD",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"CAUSEY, CHAD"
"COOK, DAVID RAY",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"COOK, DAVID RAY"
"GREEN, TERRY GLENN",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"GREEN, TERRY GLENN"
"GREGORY, JAMES CHRISTOPHER",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"GREGORY, JAMES CHRISTOPHER"
"PONDER, BEN",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"PONDER, BEN"
"WOOLRIDGE, TYMOTHE (TIM) LYNN",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"WOOLRIDGE, TYMOTHE (TIM) LYNN"
"CRAWFORD, ERIC ALAN RICK",H,AR,1,REP,OPEN,2010,male,0,9,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"CRAWFORD, ERIC ALAN RICK"
"SMITH, PRINCELLA D",H,AR,1,REP,OPEN,2010,female,1,9,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.64,"SMITH, PRINCELLA D"
"HURST, Q. BYRUM JR",H,AR,4,DEM,OPEN,2012,male,0,11,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.88,"HURST, Q. BYRUM JR"
"JEFFRESS, GENE",H,AR,4,DEM,OPEN,2012,male,0,11,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.88,"JEFFRESS, GENE"
"MORRISON, DANIEL COCHRAN",H,AR,4,DEM,OPEN,2012,male,0,11,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.88,"MORRISON, DANIEL COCHRAN"
"COTTON, THOMAS",H,AR,4,REP,OPEN,2012,male,0,11,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.88,"COTTON, THOMAS"
"COWART, JOHN DAVID",H,AR,4,REP,OPEN,2012,male,0,11,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.88,"COWART, JOHN DAVID"
"RANKIN, BETH ANNE",H,AR,4,REP,OPEN,2012,female,1,11,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.88,"RANKIN, BETH ANNE"
"RICHMOND, MARCUS EDWARD",H,AR,4,REP,OPEN,2012,male,0,11,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,44.88,"RICHMOND, MARCUS EDWARD"
"TEDISCO, JAMES",H,NY,20,REP,OPEN,2010,male,0,4,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,44.88,"TEDISCO, JAMES"
"BODE, LYNDON",H,MO,9,DEM,OPEN,2008,male,0,14.11042945,democrat,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,45.83,"BODE, LYNDON"
"GAW, ROBERT STEVEN",H,MO,9,DEM,OPEN,2008,male,0,14.11042945,democrat,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,45.83,"GAW, ROBERT STEVEN"
"JACOB, KENNETH BENTLEY",H,MO,9,DEM,OPEN,2008,male,0,14.11042945,democrat,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,45.83,"JACOB, KENNETH BENTLEY"
"BISHIR, DAN",H,MO,9,REP,OPEN,2008,male,0,6.134969325,republican,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,45.83,"BISHIR, DAN"
"LUETKEMEYER, W. BLAINE",H,MO,9,REP,OPEN,2008,male,0,6.134969325,republican,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,45.83,"LUETKEMEYER, W. BLAINE"
"MOORE, DANIELLE E",H,MO,9,REP,OPEN,2008,female,1,6.134969325,republican,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,45.83,"MOORE, DANIELLE E"
"OLIVO, JAMES BROCKMAN",H,MO,9,REP,OPEN,2008,male,0,6.134969325,republican,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,45.83,"OLIVO, JAMES BROCKMAN"
