"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen","Check Column","PartyVar","_regNewEngland","_regMidAtlantic","_regENCentral","_regWNCentral","_regSouthAtlantic","_regESCentral","_regWSCentral","_regMountainWest","_regPacific","urb_district_id","urbanPercent"
"OROSCO, TROY 'GUNNY'","H","NV","2","REP","OPEN","2012","male","0","2.380952381","republican","0","0","0","0","0","0","0","0","1","0","NV22012","78.45"
"OVERBEEK, ROBERT JOHN","H","MI","3","REP","OPEN","2010","male","0","5.454545455","republican","0","0","0","1","0","0","0","0","0","0","MI32010","76.99"
"OWENS, BRIAN","H","FL","14","REP","OPEN","2012","male","0","12.5","republican","0","0","0","0","0","1","0","0","0","0","FL142012","90.67"
"OZINGA, MARTIN III","H","IL","11","REP","OPEN","2008","male","0","10.16949153","republican","0","0","0","1","0","0","0","0","0","0","IL112008","78.11"
"PACE, JIM","H","GA","3","REP","OPEN","2016","male","0","10","republican","0","0","0","0","0","1","0","0","0","0","GA32016","60.53"
"PALMER, GARY","H","AL","6","REP","OPEN","2014","male","0","5.714285714","republican","0","0","0","0","0","0","1","0","0","0","AL62014","69.17"
"PANG, WALLY","H","MS","1","REP","OPEN","2008","male","0","3.278688525","republican","0","0","0","0","0","0","1","0","0","0","MS12008","38.36"
"PAPE, MICHAEL J","H","KY","1","REP","OPEN","2016","male","0","8","republican","0","0","0","0","0","0","1","0","0","0","KY12016","36.88"
"PARKER, CLARK B","H","SC","1","REP","OPEN","2010","male","0","7.258064516","republican","0","0","0","0","0","1","0","0","0","0","SC12010","78.44"
"PARKER, VERNON","H","AZ","3","REP","OPEN","2010","male","0","15","republican","0","0","0","0","0","0","0","0","1","0","AZ32010","96.46"
"PARKER, WAYNE JR.","H","AL","5","REP","OPEN","2008","male","0","2.857142857","republican","0","0","0","0","0","0","1","0","0","0","AL52008","59.44"
"PARRISH, DON","H","TX","19","REP","OPEN","2016","male","0","8.666666667","republican","0","0","0","0","0","0","0","1","0","0","TX192016","74.25"
"PARROTT, THOMAS S","H","GA","7","REP","OPEN","2010","male","0","6.111111111","republican","0","0","0","0","0","1","0","0","0","0","GA72010","86.70"
"PASSALACQUA, TONY","H","AZ","8","REP","OPEN","2012","male","0","20","republican","0","0","0","0","0","0","0","0","1","0","AZ82012","87.24"
"PATRICK, ANDY","H","SC","1","REP","OPEN","2014","male","0","8.064516129","republican","0","0","0","0","0","1","0","0","0","0","SC12014","87.49"
"PATTERSON, NORWOOD JAMES JR","H","CA","19","REP","OPEN","2010","male","0","5","republican","0","0","0","0","0","0","0","0","0","1","CA192010","80.66"
"PATTERSON, VANCE","H","NC","11","REP","OPEN","2012","male","0","10.83333333","republican","0","0","0","0","0","1","0","0","0","0","NC112012","43.86"
