lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MO03120&tabIndex=1,H0MO03120,"ARNOLD, DAVID JUSTUS",H,MO,3,DEM,CHALLENGER,AFFTON,MO,631232617,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA17110&tabIndex=1,H0CA17110,"ARNOLD, GARY RICHARD",H,CA,17,REP,CHALLENGER,CAPITOLA,CA,95010,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WA08080&tabIndex=1,H8WA08080,"ARNOLD, KEITH",H,WA,8,DEM,CHALLENGER,AUBURN,WA,98071,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA46069&tabIndex=1,H0CA46069,"ARNOLD, KENNETH",H,CA,46,DEM,CHALLENGER,BURBANK,CA,91502,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0IL00279&tabIndex=1,S0IL00279,"ARRINGTON, JOHN",S,IL,0,REP,OPEN,HARVEY,IL,60426,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA53024&tabIndex=1,H0CA53024,"ARRINGTON, RANDALL STEVEN PHD",H,CA,53,REP,CHALLENGER,PEACHTREE CITY,GA,30269,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0FL25079&tabIndex=1,H0FL25079,"ARROJO, JOSE ROLANNDO",H,FL,25,DEM,OPEN,MIAMI BEACH,FL,33141,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MD00203&tabIndex=1,S8MD00203,"ASBURY, BARRY STEVE",S,MD,0,REP,CHALLENGER,PARKVILLE,MD,21234,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0MD00432&tabIndex=1,S0MD00432,"ASBURY, CLAUD L",S,MD,0,REP,CHALLENGER,ELLICOTT CITY,MD,21042,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6IL07263&tabIndex=1,H6IL07263,"ASCOT, JAMES",H,IL,7,DEM,CHALLENGER,CHICAGO,IL,60661,2010
