Candidate,House/Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check Column,PartyVar
"BATES, DON JR",H,IN,6,REP,OPEN,2012,male,0,10,republican,0
"BATTS, JASON",H,KY,1,REP,OPEN,2016,male,0,8,republican,0
"BAUCUM, RALPH W DR III",H,LA,4,REP,OPEN,2016,male,0,7.619047619,republican,0
"BEASON, JASON SCOTT",H,AL,6,REP,OPEN,2014,male,0,5.714285714,republican,0
"BECKER, FRANCIS X. JR.",H,NY,4,REP,OPEN,2014,male,0,2.666666667,republican,0
"BEDELL, GREGORY A",H,IL,5,REP,OPEN,2010,male,0,10.16949153,republican,0
"BEGAY, CARLYLE WILMER",H,AZ,1,REP,OPEN,2016,male,0,13.33333333,republican,0
"BEILER, CHET",H,PA,16,REP,OPEN,2016,male,0,11.33004926,republican,0
"BELL, ROBERT (BOB) CAPT",H,LA,6,REP,OPEN,2014,male,0,4.761904762,republican,0
"BELLAVIA, DAVID C",H,NY,26,REP,OPEN,2008,male,0,3.333333333,republican,0
"BENACQUISTO, LIZBETH",H,FL,19,REP,OPEN,2014,female,1,10.83333333,republican,0
"BENISHEK, DANIEL J",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0
"BENNETT, KEN",H,AZ,1,REP,OPEN,2016,male,0,13.33333333,republican,0
"BENSON-STAEBLER, DAVID JAMES",H,MN,2,REP,OPEN,2016,male,0,13.43283582,republican,0
"BENTIVOLIO, KERRY",H,MI,11,REP,OPEN,2012,male,0,10,republican,0
"BENTON, C DAN",H,FL,14,REP,OPEN,2012,male,0,12.5,republican,0
"BENTON, CLYDE DANIEL",H,GA,9,REP,OPEN,2010,male,0,6.111111111,republican,0
"BERGER, PHILIP EDWARD JR",H,NC,6,REP,OPEN,2014,male,0,10.83333333,republican,0
"BERGMAN, ALAN",H,FL,15,REP,OPEN,2008,male,0,9.166666667,republican,0
"BERNIER, JUSTIN",H,CT,5,REP,OPEN,2012,male,0,9.933774834,republican,0
"BERNITT, BUD",H,IN,8,REP,OPEN,2010,male,0,7,republican,0
"BERRYHILL, MICHAEL CLARE SR",H,CA,18,REP,OPEN,2012,male,0,7.5,republican,0
"BIELAT, SEAN",H,MA,4,REP,OPEN,2012,male,0,3.75,republican,0
"BIRCHER, MARK WILLIAM",H,FL,13,REP,OPEN,2014,male,0,10.83333333,republican,0
"BIRCHER, MARK WILLIAM",H,FL,13,REP,OPEN,2016,male,0,12.5,republican,0
"BISHIR, DAN",H,MO,9,REP,OPEN,2008,male,0,6.134969325,republican,0
"BISHOP, BOB",H,NY,19,REP,OPEN,2016,male,0,3.333333333,republican,0
"BISHOP, MIKE",H,MI,8,REP,OPEN,2014,male,0,7.272727273,republican,0
"BLACK, DIANE LYNN",H,TN,6,REP,OPEN,2010,female,1,5.050505051,republican,0
"BLACK, RICHARD H DICK",H,VA,1,REP,OPEN,2008,male,0,5,republican,0
"BLACK, RICHARD H DICK",H,VA,10,REP,OPEN,2014,male,0,5,republican,0
"BLAKE, M. WAYNE",H,CA,32,REP,OPEN,2010,male,0,5,republican,0
"BLAKEMAN, BRUCE",H,NY,4,REP,OPEN,2014,male,0,2.666666667,republican,0
"BLANDFORD, KEITH WARRICK",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"BLEDSOE, CECILE H",H,AR,3,REP,OPEN,2010,female,1,9,republican,0
"BLUM, RODNEY LELAND",H,IA,1,REP,OPEN,2014,male,0,6,republican,0
"BOBKO, PATRICK KIT",H,CA,36,REP,OPEN,2012,male,0,7.5,republican,0
"BOLDRA, SUE ELLEN",H,KS,1,REP,OPEN,2010,female,1,12,republican,0
"BOLIVER, GAIL ELDRED",H,IA,1,REP,OPEN,2014,female,1,6,republican,0
"BOSTIC, CURTIS EILLIOTT",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"BOWDEN, JAMES ATTICUS",H,VA,1,REP,OPEN,2008,male,0,5,republican,0
"BOWDITCH, SHERWOOD HORNSBY",H,VA,1,REP,OPEN,2008,male,0,5,republican,0
"BOWERS, KERRY DALE",H,NV,3,REP,OPEN,2016,male,0,16.66666667,republican,0
"BOWMAN, TERRENCE MICHAEL",H,MI,12,REP,OPEN,2014,male,0,7.272727273,republican,0
"BOYD, CHRISTOPHER MYCHAL",H,WA,3,REP,OPEN,2010,male,0,8.163265306,republican,0
"BRADLEY, CHARLES WAYNE",H,TX,33,REP,OPEN,2012,male,0,12.66666667,republican,0
"BRANCH, ROBERT ALLEN",H,AZ,3,REP,OPEN,2010,male,0,15,republican,0
"BREEN, EDWARD FOCKE",H,OH,10,REP,OPEN,2012,male,0,11.11111111,republican,0
"BROADUS, ROBERT",H,MD,4,REP,OPEN,2016,male,0,7.80141844,republican,0
"BROADWATER, JAMES",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0
"BRODHEAD, STEPHAN ANDREW",H,OR,1,REP,OPEN,2012,male,0,8.333333333,republican,0
"BROOKE, WILLIAM W",H,AL,6,REP,OPEN,2014,male,0,5.714285714,republican,0
"BROOKS, SUSAN MRS.",H,IN,5,REP,OPEN,2012,female,1,10,republican,0
"BROSTEN, ERIC",H,MT,0,REP,OPEN,2012,male,0,9,republican,0
"BROWER, GREG",H,NV,2,REP,OPEN,2012,male,0,2.380952381,republican,0
"BROWN, LIZ",H,IN,3,REP,OPEN,2016,female,1,10,republican,0
"BRYANT, ERIC LAWRENCE",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"BUCK, KENNETH R",H,CO,4,REP,OPEN,2014,male,0,15.38461538,republican,0
"BUCK, ROB",H,MD,4,REP,OPEN,2016,male,0,7.80141844,republican,0
"BUCKHANNON, RYAN L",H,SC,1,REP,OPEN,2010,male,0,7.258064516,republican,0
"BUCSHON, LARRY D",H,IN,8,REP,OPEN,2010,male,0,7,republican,0
"BUEHRER, STEVE",H,OH,5,REP,OPEN,2008,male,0,6.060606061,republican,0
"BUHRMASTER, JAMES R",H,NY,21,REP,OPEN,2008,male,0,3.333333333,republican,0
"BURNS, KEVIN",H,IL,14,REP,OPEN,2008,male,0,10.16949153,republican,0
"BURNS, TIMOTHY G",H,LA,1,REP,OPEN,2008,male,0,3.80952381,republican,0
"BURTON , RAYMOND S.",H,NH,2,REP,OPEN,2010,male,0,10.5,republican,0
"CADIGAN, WILLIAM J",H,IL,10,REP,OPEN,2010,male,0,10.16949153,republican,0
"CALONGNE, LAURINDA L",H,LA,6,REP,OPEN,2008,female,1,3.80952381,republican,0
"CALVEY, KEVIN",H,OK,5,REP,OPEN,2010,male,0,8.910891089,republican,0
"CAMPBELL, CARROLL A III",H,SC,1,REP,OPEN,2010,male,0,7.258064516,republican,0
"CAMPBELL, CHARLES SPENCER JR",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0
"CAMPBELL, MIKE",H,IN,4,REP,OPEN,2010,male,0,7,republican,0
"CAMPINI, ANGELO",H,NY,29,REP,OPEN,2010,male,0,4,republican,0
"CANCIO, MARIANA MARILI",H,FL,25,REP,OPEN,2010,female,1,11.66666667,republican,0
"CAPPUCCILLI, PETER JR",H,NY,25,REP,OPEN,2008,male,0,3.333333333,republican,0
"CAPRARA, DAVID LOUIS",H,VA,1,REP,OPEN,2008,male,0,5,republican,0
"CARDWELL, CHARLES PATTESON IV",H,VA,2,REP,OPEN,2016,male,0,4,republican,0
"CAREY, MARC",H,KY,4,REP,OPEN,2012,male,0,9,republican,0
"CARR, ELAN S.",H,CA,33,REP,OPEN,2014,male,0,8.75,republican,0
"CARRARO, JOSEPH J",H,NM,1,REP,OPEN,2008,male,0,17.14285714,republican,0
"CARTER, EARL LEROY",H,GA,1,REP,OPEN,2014,male,0,8.888888889,republican,0
"CARTER, JAMES DARWIN",H,GA,1,REP,OPEN,2014,male,0,8.888888889,republican,0
"CASH, RICHARD JAMES",H,SC,3,REP,OPEN,2010,male,0,7.258064516,republican,0
"CASPERSON, TOM",H,MI,1,REP,OPEN,2016,male,0,8.181818182,republican,0
"CASSIS, NANCY",H,MI,11,REP,OPEN,2012,female,1,10,republican,0
"CASTAGNA, TROY",H,CA,25,REP,OPEN,2014,male,0,8.75,republican,0
"CASTELLANES, PEPITO L",H,CO,6,REP,OPEN,2008,male,0,7.692307692,republican,0
"CASTILLO, CHRISTOPHER",H,CA,44,REP,OPEN,2016,male,0,10,republican,0
"CASTILLO, DAVID B",H,WA,3,REP,OPEN,2010,male,0,8.163265306,republican,0
"CAUGHEY, MILES A",H,KY,1,REP,OPEN,2016,male,0,8,republican,0
"CAUSEY, JOHN MICHAEL",H,NC,6,REP,OPEN,2014,male,0,10.83333333,republican,0
"CEGAVSKE, BARBARA",H,NV,4,REP,OPEN,2012,female,1,2.380952381,republican,0
"CENTILLI, DOUG",H,TX,36,REP,OPEN,2014,male,0,10,republican,0
"CHABOT, PAUL R DR.",H,CA,31,REP,OPEN,2014,male,0,8.75,republican,0
"CHAMBERLAIN, DONALD NORWOOD",H,AL,7,REP,OPEN,2010,male,0,2.857142857,republican,0
"CHAPMAN, JEFF",H,GA,1,REP,OPEN,2014,male,0,8.888888889,republican,0
"CHARLES, ROBERT LINCOLN",H,AZ,3,REP,OPEN,2010,male,0,15,republican,0
"CHILDS, ELIZABETH",H,MA,4,REP,OPEN,2012,female,1,3.75,republican,0
"CHRISTENSEN, LELAND G",H,WY,0,REP,OPEN,2016,male,0,13.33333333,republican,0
"CHU, BETTY",H,CA,32,REP,OPEN,2010,female,1,5,republican,0
"CICOTTE, GEORGE FREDERICK",H,WA,4,REP,OPEN,2014,male,0,9.183673469,republican,0
"CLAI, RODOLFO P ''RUDY''",H,IL,14,REP,OPEN,2008,male,0,10.16949153,republican,0
"CLAITOR, DANIEL A",H,LA,6,REP,OPEN,2014,male,0,4.761904762,republican,0
"CLARK, MICHAEL",H,CT,5,REP,OPEN,2012,male,0,9.933774834,republican,0
"CLARK, NORMAN NORM LEE",H,LA,6,REP,OPEN,2014,male,0,4.761904762,republican,0
"CLARKE, JEROME",H,IL,13,REP,OPEN,2012,male,0,9.322033898,republican,0
"CLEMMER, ANN V",H,AR,2,REP,OPEN,2014,female,1,10,republican,0
"CLOONAN, MICHAEL",H,LA,6,REP,OPEN,2008,male,0,3.80952381,republican,0
"CLOUD, DOUGLAS RICHARD MR.",H,WA,6,REP,OPEN,2012,male,0,10.20408163,republican,0
"CLOUD, JEFF",H,OK,5,REP,OPEN,2010,male,0,8.910891089,republican,0
"COAKLEY, VINCENT EDWARD",H,NC,12,REP,OPEN,2014,male,0,10.83333333,republican,0
"COBB, GARY WILBERT",H,NJ,1,REP,OPEN,2014,male,0,12.5,republican,0
"COBB, JAMES JAY FRANCIS",H,UT,4,REP,OPEN,2012,male,0,5.333333333,republican,0
"COBB, MARCK REDELL",H,KS,1,REP,OPEN,2010,male,0,12,republican,0
"COBLE, PAUL",H,NC,13,REP,OPEN,2012,male,0,10.83333333,republican,0
"COCHRANE, TIMOTHY J",H,NY,9,REP,OPEN,2012,male,0,4.666666667,republican,0
"COFFMAN, MIKE",H,CO,6,REP,OPEN,2008,male,0,7.692307692,republican,0
"COLLINS, CHARLES (GOOGIE)",H,HI,1,REP,OPEN,2010,male,0,9.803921569,republican,0
"COLLINS, HAYDEN THOMAS JR",H,GA,11,REP,OPEN,2014,male,0,8.888888889,republican,0
"COLLINS, MICHAEL A JR",H,GA,10,REP,OPEN,2014,male,0,8.888888889,republican,0
"COLLINS, NANCY",H,MS,1,REP,OPEN,2016,female,1,4.098360656,republican,0
"COLLINS, NEAL ANTHONY MR",H,SC,3,REP,OPEN,2010,male,0,7.258064516,republican,0
"COLLISON, DANIEL EUGENE",H,NC,6,REP,OPEN,2014,male,0,10.83333333,republican,0
"COMER, JAMES",H,KY,1,REP,OPEN,2016,male,0,8,republican,0
"COMSTOCK, BARBARA J",H,VA,10,REP,OPEN,2014,female,1,5,republican,0
"CONLON, GREG",H,CA,12,REP,OPEN,2008,male,0,7.5,republican,0
"CONTRERAS, LOUIE A",H,CA,46,REP,OPEN,2016,male,0,10,republican,0
"CONYERS, CHRISTINA",H,MI,14,REP,OPEN,2014,female,1,7.272727273,republican,0
"COOK, RODGER",H,IL,12,REP,OPEN,2012,male,0,9.322033898,republican,0
"COOPER, WILLIAM C",H,MI,2,REP,OPEN,2010,male,0,5.454545455,republican,0
"CORDERMAN, DAVID S",H,VA,1,REP,OPEN,2008,male,0,5,republican,0
"CORLEY, JASON ERIC MR.",H,TX,19,REP,OPEN,2016,male,0,8.666666667,republican,0
"CORNILLES, ROBERT",H,OR,1,REP,OPEN,2012,male,0,8.333333333,republican,0
"CORWIN, JANE",H,NY,26,REP,OPEN,2012,female,1,4.666666667,republican,0
"COSTELLO, FREDRICK WILLIAM",H,FL,6,REP,OPEN,2016,male,0,12.5,republican,0
"COSTELLO, RYAN A",H,PA,6,REP,OPEN,2014,male,0,10.34482759,republican,0
"COTTON, THOMAS",H,AR,4,REP,OPEN,2012,male,0,11,republican,0
"COULSON, ELIZABETH",H,IL,10,REP,OPEN,2010,female,1,10.16949153,republican,0
"COWART, JOHN DAVID",H,AR,4,REP,OPEN,2012,male,0,11,republican,0
"COX, DAN",H,MD,8,REP,OPEN,2016,male,0,7.80141844,republican,0
"COX, JOHN CLAYTON 'CLAY'",H,GA,7,REP,OPEN,2010,male,0,6.111111111,republican,0
"CRAMER, KEVIN",H,ND,0,REP,OPEN,2012,male,0,12.76595745,republican,0
"CRAMER, ROBERT JAMES",H,IA,3,REP,OPEN,2014,male,0,6,republican,0
"CRANGLE, TOMMY FRANKLIN",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"CRANK, JEFF",H,CO,5,REP,OPEN,2008,male,0,7.692307692,republican,0
"CRAWFORD, ERIC ALAN RICK",H,AR,1,REP,OPEN,2010,male,0,9,republican,0
"CRESPO, PAUL L",H,FL,25,REP,OPEN,2010,male,0,11.66666667,republican,0
"CRIDER, KENNETH",H,MI,11,REP,OPEN,2012,male,0,10,republican,0
"CRIMMINS, MICHAEL ",H,CA,51,REP,OPEN,2012,male,0,7.5,republican,0
"CROWLEY, DAVID COCHRANE II",H,CA,33,REP,OPEN,2010,male,0,5,republican,0
"CROWLEY, KAWIKA",H,HI,2,REP,OPEN,2012,female,1,7.843137255,republican,0
"CRUM, DOUGLAS",H,HI,1,REP,OPEN,2010,male,0,9.803921569,republican,0
"CRUMP, SAMUEL TURRENTINE SR",H,AZ,3,REP,OPEN,2010,male,0,15,republican,0
"CULLIS, FREDERICK R",H,DE,0,REP,OPEN,2010,male,0,7.317073171,republican,0
"DAINES, STEVEN",H,MT,0,REP,OPEN,2012,male,0,9,republican,0
"DAVIDOW, JOSEPH ASHER",H,FL,19,REP,OPEN,2012,male,0,12.5,republican,0
"DAVIDSON, WARREN",H,OH,8,REP,OPEN,2016,male,0,13.13131313,republican,0
"DAVIS, CHARLES E II II",H,VA,1,REP,OPEN,2008,male,0,5,republican,0
"DAVIS, JACK",H,NY,26,REP,OPEN,2012,male,0,4.666666667,republican,0
"DAVIS, RODNEY L",H,IL,13,REP,OPEN,2012,male,0,9.322033898,republican,0
"DAVIS, SUSAN MAECHELL",H,GA,11,REP,OPEN,2014,female,1,8.888888889,republican,0
"DAY, TIMOTHY TERREL",H,TX,14,REP,OPEN,2012,male,0,12.66666667,republican,0
"DECAILLY, PAUL",H,FL,13,REP,OPEN,2016,male,0,12.5,republican,0
"DEL ROSSO, MICHAEL JOSEPH MR.",H,VA,5,REP,OPEN,2016,male,0,4,republican,0
"DELAROSA, MIKE",H,NV,4,REP,OPEN,2012,male,0,2.380952381,republican,0
"DELAY, ROBERT GUNNER",H,AR,3,REP,OPEN,2010,male,0,9,republican,0
"DEMARCO, PAUL",H,AL,6,REP,OPEN,2014,male,0,5.714285714,republican,0
"DENHAM, JEFF",H,CA,19,REP,OPEN,2010,male,0,5,republican,0
"DENOW, TOM",H,WI,6,REP,OPEN,2014,male,0,8.080808081,republican,0
"DEVOL, MARK",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"DIBELIUS, DAVID ALAN",H,PA,13,REP,OPEN,2014,male,0,10.34482759,republican,0
"DICIANNI, PETER",H,IL,8,REP,OPEN,2016,male,0,8.474576271,republican,0
"DIDIER, CLINT",H,WA,4,REP,OPEN,2014,male,0,9.183673469,republican,0
"DIETZEL , PAUL II",H,LA,6,REP,OPEN,2014,male,0,4.761904762,republican,0
"DIGERONIMO, MATTHEW",H,HI,2,REP,OPEN,2012,male,0,7.843137255,republican,0
"DILGER, MICHAEL J.",H,IL,14,REP,OPEN,2008,male,0,10.16949153,republican,0
"DJOU, CHARLES K",H,HI,1,REP,OPEN,2014,male,0,5.882352941,republican,0
"DOHENY, MATTHEW A",H,NY,21,REP,OPEN,2014,male,0,2.666666667,republican,0
"DOLD JR., ROBERT JAMES MR.",H,IL,10,REP,OPEN,2010,male,0,10.16949153,republican,0
"DOMINO, CARL J",H,FL,18,REP,OPEN,2016,male,0,12.5,republican,0
"DONALDS, BYRON",H,FL,19,REP,OPEN,2012,male,0,12.5,republican,0
"DONLON, PATRICK",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0
"DOOLEY, THOMAS EUGENE",H,GA,9,REP,OPEN,2010,male,0,6.111111111,republican,0
"DOUGLAS, JOHN F",H,GA,10,REP,OPEN,2014,male,0,8.888888889,republican,0
"DOUGLAS, PATRICE",H,OK,5,REP,OPEN,2014,female,1,10.89108911,republican,0
"DOWNER, HUNTINGTON B JR",H,LA,3,REP,OPEN,2010,male,0,3.80952381,republican,0
"DOWNING, RYAN",H,CA,31,REP,OPEN,2014,male,0,8.75,republican,0
"DOYLE, JERRY L",H,TX,36,REP,OPEN,2012,male,0,12.66666667,republican,0
"DREIKORN, MICHAEL JOHN",H,FL,19,REP,OPEN,2014,male,0,10.83333333,republican,0
"DRISCOLL, BILL",H,WA,6,REP,OPEN,2012,male,0,10.20408163,republican,0
"DUFFY, SEAN",H,WI,7,REP,OPEN,2010,male,0,6.060606061,republican,0
"DULIN, ANDY T",H,NC,9,REP,OPEN,2012,male,0,10.83333333,republican,0
"DUNCAN, JEFF",H,SC,3,REP,OPEN,2010,male,0,7.258064516,republican,0
"DUNHAM, DANIEL L",H,IN,4,REP,OPEN,2010,male,0,7,republican,0
"DUNN, AUBREY",H,NM,2,REP,OPEN,2008,male,0,17.14285714,republican,0
"DUNN, GARY",H,AZ,7,REP,OPEN,2014,male,0,13.33333333,republican,0
"DUOME, MARC DR.",H,PA,8,REP,OPEN,2016,male,0,11.33004926,republican,0
"DYAS, J. DANIEL, SR.",H,AL,1,REP,OPEN,2014,male,0,5.714285714,republican,0
"EAST, DANIEL K",H,NM,3,REP,OPEN,2008,male,0,17.14285714,republican,0
"ECK, ALIETA DR",H,NJ,12,REP,OPEN,2014,female,1,12.5,republican,0
"EDMOND, MICAH K",H,VA,8,REP,OPEN,2014,male,0,5,republican,0
"EDWARDS, CHRISTOPHER",H,NV,1,REP,OPEN,2012,male,0,2.380952381,republican,0
"EFSTRATION, CHUCK",H,GA,7,REP,OPEN,2010,male,0,6.111111111,republican,0
"EGLAND, ERIC IVER",H,CA,4,REP,OPEN,2008,male,0,7.5,republican,0
"EICHENBAUM, DAN DR",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0
"EICHNER, DAVID MICHAEL  IKE",H,WA,6,REP,OPEN,2012,male,0,10.20408163,republican,0
"EISELE, STEPHEN KARL",H,CA,36,REP,OPEN,2012,male,0,7.5,republican,0
"EMMER, THOMAS EARL JR",H,MN,6,REP,OPEN,2014,male,0,12.68656716,republican,0
"ENGEL, TOM",H,NY,22,REP,OPEN,2012,male,0,4.666666667,republican,0
"ENGSTRAND, JIM",H,TX,36,REP,OPEN,2014,male,0,10,republican,0
"ERICKSON, MICHAEL",H,OR,5,REP,OPEN,2008,male,0,13.33333333,republican,0
"EVANS, DAVE",H,TN,6,REP,OPEN,2010,male,0,5.050505051,republican,0
"EVANS, MIKE ALLEN",H,GA,9,REP,OPEN,2010,male,0,6.111111111,republican,0
"EVANS, ROBERT ANTHONY JR.",H,NY,13,REP,OPEN,2016,male,0,3.333333333,republican,0
"EVENS, RICHARD",H,IL,8,REP,OPEN,2016,male,0,8.474576271,republican,0
"EXARCHOS, CHRIS",H,PA,5,REP,OPEN,2008,male,0,7.881773399,republican,0
"FAREED, JUSTIN",H,CA,24,REP,OPEN,2016,male,0,10,republican,0
"FARKAS, STEPHEN",H,MI,12,REP,OPEN,2014,male,0,7.272727273,republican,0
"FASO, JOHN J. MR.",H,NY,19,REP,OPEN,2016,male,0,3.333333333,republican,0
"FAUGHT, GEORGE E",H,OK,2,REP,OPEN,2012,male,0,9.900990099,republican,0
"FAULK, JOHN M SR.",H,TX,14,REP,OPEN,2012,male,0,12.66666667,republican,0
"FAVA, MARK CHRISTOPHER",H,SC,1,REP,OPEN,2010,male,0,7.258064516,republican,0
"FEERER, DONALD",H,OH,8,REP,OPEN,2016,male,0,13.13131313,republican,0
"FEIKES, MITCH",H,IN,2,REP,OPEN,2012,male,0,10,republican,0
"FELDER, CASSIE ERIN",H,LA,6,REP,OPEN,2014,female,1,4.761904762,republican,0
"FELTON, GUY",H,NV,2,REP,OPEN,2012,male,0,2.380952381,republican,0
"FERGUSON, ANDERSON DREW IV",H,GA,3,REP,OPEN,2016,male,0,10,republican,0
"FIMIAN, KEITH S",H,VA,11,REP,OPEN,2008,male,0,5,republican,0
"FINCHER, JAMES (JEF) ERNEST",H,GA,7,REP,OPEN,2010,male,0,6.111111111,republican,0
"FINCHER, STEVE",H,TN,8,REP,OPEN,2010,male,0,5.050505051,republican,0
"FIORE, MICHELE",H,NV,3,REP,OPEN,2016,female,1,16.66666667,republican,0
"FITZGERALD, JOHN PHILIP",H,TX,36,REP,OPEN,2014,male,0,10,republican,0
"FITZPATRICK, BRIAN",H,PA,8,REP,OPEN,2016,male,0,11.33004926,republican,0
"FLANEGAN, CHARLES EDWARD JR",H,GA,3,REP,OPEN,2016,male,0,10,republican,0
"FLANIGAN, RICKY A JR",H,OK,5,REP,OPEN,2010,male,0,8.910891089,republican,0
"FLEIG, JOHN MICHAEL",H,FL,13,REP,OPEN,2014,male,0,10.83333333,republican,0
"FLEISCHMANN, CHARLES J",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"FLEMING, JOHN CALVIN JR.",H,LA,4,REP,OPEN,2008,male,0,3.80952381,republican,0
"FLINN, GEORGE S DR JR",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"FLINN, GEORGE S JR",H,TN,8,REP,OPEN,2010,male,0,5.050505051,republican,0
"FLUHARTY, ROBERT LAWRENCE",H,WV,2,REP,OPEN,2014,male,0,10,republican,0
"FLYNN, MICHAEL",H,IL,18,REP,OPEN,2016,male,0,8.474576271,republican,0
"FLYNN, MICHAEL",H,MI,10,REP,OPEN,2016,male,0,8.181818182,republican,0
"FORLINI, ANTHONY G.",H,MI,10,REP,OPEN,2016,male,0,8.181818182,republican,0
"FRIEDMAN, ARIE STEPHEN",H,IL,10,REP,OPEN,2010,female,1,10.16949153,republican,0
"FUEHR, BOB",H,UT,2,REP,OPEN,2012,male,0,5.333333333,republican,0
"FUEHR, BOB",H,UT,4,REP,OPEN,2014,male,0,5.333333333,republican,0
"GALLAGHER, MICHAEL JOHN",H,WI,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"GALLOWAY, G.G.",H,FL,6,REP,OPEN,2016,male,0,12.5,republican,0
"GALLOWAY, PAMELA GAIL",H,IN,3,REP,OPEN,2016,female,1,10,republican,0
"GALYEAN, JAMES D",H,SC,3,REP,OPEN,2010,male,0,7.258064516,republican,0
"GARD, JOHN G",H,WI,8,REP,OPEN,2008,male,0,9.090909091,republican,0
"GARRETT, GREGORY KEITH",H,TX,19,REP,OPEN,2016,male,0,8.666666667,republican,0
"GARRETT, THOMAS ALEXANDER MR. JR.",H,VA,5,REP,OPEN,2016,male,0,4,republican,0
"GARZA, ADELA",H,TX,34,REP,OPEN,2012,female,1,12.66666667,republican,0
"GAUTHIER, JON EDWARD",H,NC,9,REP,OPEN,2012,male,0,10.83333333,republican,0
"GAY, DAVID ANDREW",H,NY,25,REP,OPEN,2008,male,0,3.333333333,republican,0
"GAY, JOHN RAYMOND",H,TX,14,REP,OPEN,2012,male,0,12.66666667,republican,0
"GERDES, STEVEN J.",H,WA,1,REP,OPEN,2012,male,0,10.20408163,republican,0
"GERRARD, GARY",H,GA,10,REP,OPEN,2014,male,0,8.888888889,republican,0
"GILANI, LILY",H,CA,33,REP,OPEN,2014,female,1,8.75,republican,0
"GILBERT, JOSEPH MARK",H,NY,21,REP,OPEN,2014,male,0,2.666666667,republican,0
"GILYEAT, DANIEL",H,KS,3,REP,OPEN,2010,male,0,12,republican,0
"GIN, MIKE",H,CA,36,REP,OPEN,2012,male,0,7.5,republican,0
"GIONIS, XANTHI",H,CA,51,REP,OPEN,2012,female,1,7.5,republican,0
"GIUDA, ROBERT",H,NH,2,REP,OPEN,2010,male,0,10.5,republican,0
"GIUFFRE, JOHN (RAGHU)",H,HI,1,REP,OPEN,2010,male,0,9.803921569,republican,0
"GLASSON, KENNETH THOMAS JR",H,SC,1,REP,OPEN,2010,male,0,7.258064516,republican,0
"GOBBLE, TIMOTHY A",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"GOETTLE, SHANE CHRISTOPHER",H,ND,0,REP,OPEN,2012,male,0,12.76595745,republican,0
"GOLDTHORPE, LINDA J",H,MI,1,REP,OPEN,2010,female,1,5.454545455,republican,0
"GONZALES, MARCO",H,NM,3,REP,OPEN,2008,male,0,17.14285714,republican,0
"GONZALEZ, ROBERTO F",H,TX,14,REP,OPEN,2012,male,0,12.66666667,republican,0
"GOOCH, LESLI E MCCOLLUM",H,CA,31,REP,OPEN,2014,female,1,8.75,republican,0
"GOODMAN, JACK",H,MO,7,REP,OPEN,2010,male,0,6.134969325,republican,0
"GORDON, MARK",H,WY,0,REP,OPEN,2008,male,0,15,republican,0
"GORMAN, CHRIS D",H,LA,4,REP,OPEN,2008,male,0,3.80952381,republican,0
"GORMAN, PAMELA DIANE",H,AZ,3,REP,OPEN,2010,female,1,15,republican,0
"GOSS, CHAUNCEY PORTER MR. II",H,FL,19,REP,OPEN,2012,male,0,12.5,republican,0
"GOWAN , DAVID MATTHEW SR",H,AZ,1,REP,OPEN,2016,male,0,13.33333333,republican,0
"GRABELLE, JUSTIN M",H,FL,11,REP,OPEN,2016,male,0,12.5,republican,0
"GRANDANETTE, JOE",H,IA,3,REP,OPEN,2014,male,0,6,republican,0
"GRANDE, BETTE B",H,ND,0,REP,OPEN,2012,female,1,12.76595745,republican,0
"GRANTHAM, TRAVIS W.",H,AZ,9,REP,OPEN,2012,male,0,20,republican,0
"GRAVES, GARRET",H,LA,6,REP,OPEN,2014,male,0,4.761904762,republican,0
"GRAVES, WILLIAM R",H,NV,2,REP,OPEN,2012,male,0,2.380952381,republican,0
"GRAY, CHUCK",H,AZ,6,REP,OPEN,2012,male,0,20,republican,0
"GREEN, RICHARD CRONKHITE",H,IL,10,REP,OPEN,2010,male,0,10.16949153,republican,0
"GREENBERG, MARK DANIEL",H,CT,5,REP,OPEN,2012,male,0,9.933774834,republican,0
"GREENFIELD, JIM",H,OR,1,REP,OPEN,2012,male,0,8.333333333,republican,0
"GREER, C EARL",H,NM,2,REP,OPEN,2008,male,0,17.14285714,republican,0
"GREER, JOHN BRADLEY MR",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"GRIFFIN, JOHN TIMOTHY",H,AR,2,REP,OPEN,2010,male,0,9,republican,0
"GRIFFIN, KY DOUGLAS",H,TX,36,REP,OPEN,2012,female,1,12.66666667,republican,0
