Texas 21,Lamar S. Smith,Republican,1987,1947,40,Male
Texas 22,Pete Olson,Republican,2009,1962,47,Male
Texas 23,Will Hurd,Republican,2015,1977,38,Male
Texas 24,Kenny Marchant,Republican,2005,1951,54,Male
Texas 25,Roger Williams,Republican,2013,1949,64,Male
Texas 26,Michael Burgess,Republican,2003,1950,53,Male
Texas 27,Blake Farenthold,Republican,2011,1961,50,Male
Texas 28,Henry Cuellar,Democratic,2005,1955,50,Male
Texas 29,Gene Green,Democratic,1993,1947,46,Male
Texas 30,Eddie Johnson,Democratic,1991,1935,56,Male
Texas 31,John Carter,Republican,2003,1941,62,Male
Texas 32,Pete Sessions,Republican,1997,1955,42,Male
Texas 33,Marc Veasey,Democratic,2013,1971,42,Male
Texas 34,"Filemon Vela, Jr.",Democratic,2013,1963,50,Male
Texas 35,Lloyd Doggett,Democratic,1995,1946,49,Male
Texas 36,Brian Babin,Republican,2015,1948,67,Male
Utah 1,Rob Bishop,Republican,2003,1951,52,Male
Utah 2,Chris Stewart,Republican,2013,1960,53,Male
Utah 3,Jason Chaffetz,Republican,2009,1967,42,Male
Utah 4,Mia Love,Republican,2015,1975,40,Female
Vermont At Large,Peter Welch,Democratic,2007,1947,60,Male
Virginia 1,Rob Wittman,Republican,2007,1959,48,Male
Virginia 2,Scott Rigell,Republican,2011,1960,51,Male
Virginia 3,Robert Scott,Democratic,1993,1947,46,Male
Virginia 4,Randy Forbes,Republican,2001,1952,49,Male
Virginia 5,Robert Hurt,Republican,2011,1969,42,Male
Virginia 6,Bob Goodlatte,Republican,1993,1952,41,Male
Virginia 7,Dave Brat,Republican,2014,1964,50,Male
Virginia 8,Don Beyer,Democratic,2015,1950,65,Male
Virginia 9,Morgan Griffith,Republican,2011,1958,53,Male
Virginia 10,Barbara Comstock,Republican,2015,1959,56,Female
Virginia 11,Gerry Connolly,Democratic,2009,1950,59,Male
Washington 1,Suzan DelBene,Democratic,2012,1963,49,Female
Washington 2,Rick Larsen,Democratic,2001,1965,36,Male
Washington 3,Jaime Herrera Beutler,Republican,2011,1978,33,Female
Washington 4,Dan Newhouse,Republican,2015,1955,60,Male
Washington 5,Cathy McMorris Rodgers,Republican,2005,1969,36,Female
Washington 6,Derek Kilmer,Democratic,2013,1974,39,Male
Washington 7,Jim McDermott,Democratic,1989,1936,53,Male
Washington 8,Dave Reichert,Republican,2005,1950,55,Male
Washington 9,Adam Smith,Democratic,1997,1965,32,Male
Washington 10,Dennis Heck,Democratic,2013,1952,61,Male
West Virginia 1,David McKinley,Republican,2011,1947,64,Male
West Virginia 2,Alex Mooney,Republican,2015,1971,44,Male
West Virginia 3,Evan Jenkins,Republican,2015,1960,55,Male
Wisconsin 1,Paul Ryan,Republican,1999,1970,29,Male
Wisconsin 2,Mark Pocan,Democratic,2013,1964,49,Male
Wisconsin 3,Ron Kind,Democratic,1997,1963,34,Male
Wisconsin 4,Gwen Moore,Democratic,2005,1951,54,Female
Wisconsin 5,Jim Sensenbrenner,Republican,1979,1943,36,Male
Wisconsin 6,Glenn Grothman,Republican,2015,1955,60,Male
Wisconsin 7,Sean Duffy,Republican,2011,1971,40,Male
Wisconsin 8,Reid Ribble,Republican,2011,1956,55,Male
Wyoming At Large,Cynthia Lummis,Republican,2009,1954,55,Female
